,university_name,program_name,tags,duration,tuition,start_date,description,state,city,world_ranking,disciplines,delivered,gpa,gre,toefl,ielts,credits,gpa_yn,university_tier_ranking,gmat_yn,ielts_yn,toefl_yn,gre_yn,fall_start_yn,spring_start_yn,summer_start_yn,desc_len,tuition_per_month
0,University of Rochester,Data Science, M.Sc. ,12.0,1784.0,8/25/2021,goergen institute data science offers stem accredited data science program university rochester well advanced certificate data science,New York,Rochester,125.0,Data Science & Big Data,On Campus,,Required,105.0,7.0,30.0,0,2,0,1,1,1,1,0,0,134,148.67
1,Bellevue University,Data Science, M.Sc. ,24.0,585.0,3/9/2021,data science program bellevue university designed prepare driver seat curate analyze make relevant discoveries large data sets ,Nebraska,Bellevue,,Data Science & Big Data,Online,3,Not Required,71.0,0.0,30.0,1,5,0,1,1,0,0,1,0,127,24.38
2,New York University,Data Science, M.Sc. ,24.0,22272.0,9/2/2021,master science data science new york university highly selective program students strong background mathematics computer science applied statistics degree focuses development new methods data science,New York,New York City,28.0,Data Science & Big Data,On Campus,,Required,105.0,7.0,36.0,0,1,0,1,1,1,1,0,0,199,928.0
3,Lipscomb University,Data Science, Master ,12.0,1288.0,8/19/2020,data science program offered lipscomb universitydeals big data find insights new emerging types data content sought professional,Tennessee,Memphis,,Informatics & Information Sciences,On Campus,,Not Required,71.0,0.0,30.0,0,5,0,1,1,0,1,0,0,128,107.33
4,University of Massachusetts Dartmouth,Data Science, M.Sc. ,12.0,22183.0,4/15/2021,data science program university massachusetts dartmouth prepares leadership positions data analytics information management knowledge engineering jointly offered departments computer science engineering mathematics arts sciences,New York,New York City,191.0,Data Science & Big Data,On Campus,3,Required,100.0,7.5,30.0,1,2,0,1,1,1,0,1,0,228,1848.58
5,"University of California, Berkeley",Data Science, Master ,36.0,1700.0,6/10/2021,data everywhere e commerce sales app downloads smartphone supply chain management bioinformatics connected devices massive increase amount variety data collected translating exponential growth computer power needed process data learn join data science program university california berkeley,California,Berkeley,4.0,Statistics,Online,,Required,80.0,6.5,10.0,0,1,0,1,1,1,0,0,1,290,47.22
6,University of Rochester,Data Science, M.Sc. ,12.0,1784.0,8/25/2021,goergen institute data science offers stem accredited data science program university rochester well advanced certificate data science,New York,Rochester,125.0,Data Science & Big Data,On Campus,3,Required,105.0,7.0,34.83512544802868,1,2,0,1,1,1,1,0,0,134,148.67
7,Bellevue University,Data Science, M.Sc. ,24.0,585.0,3/9/2021,data science program bellevue university designed prepare driver seat curate analyze make relevant discoveries large data sets ,Nebraska,Bellevue,,Data Science & Big Data,Online,,Not Required,71.0,0.0,10.0,0,5,0,1,1,0,0,1,0,127,24.38
8,New York University,Data Science, M.Sc. ,24.0,22272.0,9/2/2021,master science data science new york university highly selective program students strong background mathematics computer science applied statistics degree focuses development new methods data science,New York,New York City,28.0,Data Science & Big Data,On Campus,,Required,100.0,7.5,36.0,0,1,0,1,1,1,1,0,0,199,928.0
9,Lipscomb University,Data Science, Master ,12.0,1288.0,8/19/2020,data science program offered lipscomb universitydeals big data find insights new emerging types data content sought professional,Florida,Memphis,,Informatics & Information Sciences,On Campus,,Required,80.0,6.5,30.0,0,5,0,1,1,1,1,0,0,128,107.33
